etajdt_case, Azwjdt, cosh, 1, cosÉ∆, cos2É∆, cos3É∆, cos4É∆, cos5É∆, cos6É∆, cos7É∆, etajdtA
1060, 7.60249599586092, 0.23641266566412, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.513412136092493
1061, 37.9233687280915, 0.1955554299612, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.355134124559784
1062, 71.5927172969924, 0.214035015451868, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.16047765495552
1063, 100.451279546963, 0.3069066456076, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1064, 130.381334634255, 0.633465372381997, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1065, 146.517560252221, 0.897630356782054, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1066, 161.727443852039, 0.998734860018288, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1067, -95.9036061099088, 0.999927965194223, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1068, -80.4850756435332, 0.915435031932259, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.348877855897191
1069, -64.7785046932522, 0.666230676096435, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.597392205933668
1070, -38.4681074768897, 0.341665799182358, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.570929104729632
1071, -14.8975040041391, 0.23641266566412, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.502710031437065
1072, 15.4233687280915, 0.1955554299612, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.425922379942433
1073, 49.0927172969924, 0.214035015451868, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.324822041221414
1074, 77.9512795469625, 0.3069066456076, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.152230977730913
1075, 107.881334634255, 0.633465372381997, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1076, 124.017560252221, 0.897630356782054, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1077, 139.227443852039, 0.998734860018288, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1078, -118.403606109909, 0.999927965194223, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1079, -102.985075643533, 0.915435031932259, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1080, -87.2785046932522, 0.666230676096435, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.0755449786689623
1081, -60.9681074768897, 0.341665799182358, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.379469198635858
1082, -37.3975040041391, 0.23641266566412, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.424525158884863
1083, -7.07663127190847, 0.1955554299612, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.436986573413225
